==============================================================================
pg_resp benchmark raw output — arm R-opt — workload d1024-p1-c1
==============================================================================
arm            : R-opt  (Redis, cache-tuned: save "", appendonly no, maxmemory + allkeys-lru)
workload       : data-size=1024 pipeline=1 clients=1 threads=1 => 1 total connections
protocol       : 3 run(s) x 60s, ratio 1:10 SET:GET, key-pattern G:G, key-maximum 1000000 (bible §10)
started (UTC)  : 2026-08-06T00:53:49.536656+00:00
server note    : (none given)
client pinning : docker --cpuset-cpus 4-7 (memtier runs containerised; see bench/harness/box/memtier_benchmark)
warm-up        : v2 fixed key-count — 200000 requested, 200000 actual (200000 per connection x 1 connections), SET-only, G:G over 1M keys, 1024 B values
server CPU     : 91 samples over ~91s — min 0.5%  median 50.6%  peak 52.0%  (100% = one logical CPU fully busy)
saturated      : NO (threshold 90% peak; recorded only, not enforced for this cell)
env class      : dedicated — publishable — dedicated-vCPU Linux box per Phase 4 environment amendment
publishable    : YES

credential note: any --authenticate value below is recorded verbatim on
purpose — iron rule 7 requires a command line that actually reruns. Per the
Phase 4 standing rule the benchmark box uses a freshly generated throwaway
password and is destroyed after the sweep; never reuse it anywhere.

memtier invocation (verbatim — this line is the contract, iron rule 7):
  bench/harness/box/memtier_benchmark --host=127.0.0.1 --port=6381 --protocol=redis --ratio=1:10 --data-size=1024 --key-pattern=G:G --key-maximum=1000000 --pipeline=1 --clients=1 --threads=1 --test-time=60 --run-count=3 --print-percentiles=50,99,99.9 --hide-histogram --print-all-runs

warm-up invocation (verbatim):
  bench/harness/box/memtier_benchmark --host=127.0.0.1 --port=6381 --protocol=redis --ratio=1:0 --data-size=1024 --key-pattern=G:G --key-maximum=1000000 --pipeline=1 --clients=1 --threads=1 --run-count=1 --hide-histogram --requests=200000

regenerate this exact file with:
  bench/harness/sweep.py --arm R-opt --port 6381 --data-size 1024 --pipeline 1 --clients 1 --threads 1 --test-time 60 --run-count 3 --warmup-keys 200000 --env-class dedicated --client-cpus 4-7 --client-pin-mechanism docker-cpuset --memtier bench/harness/box/memtier_benchmark --require-exclusive --rerun-on-spread --out-dir bench/results/grid

pre-run and post-run checks:
  - exclusivity: no other arm port answers
  - SET/GET probe OK over the measurement path (b'probe-ok' read back)
  - warm-up: v2 fixed key-count — 200000 requested, 200000 actual (200000 per connection x 1 connections), SET-only, G:G over 1M keys, 1024 B values
  - NOAUTH occurrences in output: 0 (must be 0)
  - per-run ops/sec: #1 26,781, #2 26,733, #3 26,691
  - median run: #2 (26,733.43 ops/s) — median, NOT memtier's AGGREGATED AVERAGE (a mean)
  - spread (max-min)/median: 0.33% (threshold 8.0%) -> OK
  - GET hit rate: 40.94% (must be > 0)

live server configuration, read from the RUNNING server (ENV.md §21.3):
  CONFIG GET save -> *2 $4 save $0
  CONFIG GET appendonly -> *2 $10 appendonly $2 no
  CONFIG GET io-threads -> *2 $10 io-threads $1 1
  CONFIG GET maxmemory -> *2 $9 maxmemory $9 268435456
  CONFIG GET maxmemory-policy -> *2 $16 maxmemory-policy $11 allkeys-lru

server CPU samples, ~1s apart (total, then per container):
      46.1%  pg_resp_bench_R_opt=46.1%
      51.0%  pg_resp_bench_R_opt=51.0%
      50.1%  pg_resp_bench_R_opt=50.1%
      50.4%  pg_resp_bench_R_opt=50.4%
      51.0%  pg_resp_bench_R_opt=51.0%
      50.1%  pg_resp_bench_R_opt=50.1%
      50.8%  pg_resp_bench_R_opt=50.8%
      50.3%  pg_resp_bench_R_opt=50.3%
      50.1%  pg_resp_bench_R_opt=50.1%
      50.0%  pg_resp_bench_R_opt=50.0%
      50.7%  pg_resp_bench_R_opt=50.7%
      50.3%  pg_resp_bench_R_opt=50.3%
      50.4%  pg_resp_bench_R_opt=50.4%
      50.3%  pg_resp_bench_R_opt=50.3%
      51.5%  pg_resp_bench_R_opt=51.5%
      50.9%  pg_resp_bench_R_opt=50.9%
      51.0%  pg_resp_bench_R_opt=51.0%
      49.7%  pg_resp_bench_R_opt=49.7%
      50.9%  pg_resp_bench_R_opt=50.9%
      50.5%  pg_resp_bench_R_opt=50.5%
      50.4%  pg_resp_bench_R_opt=50.4%
      50.5%  pg_resp_bench_R_opt=50.5%
      50.5%  pg_resp_bench_R_opt=50.5%
      50.7%  pg_resp_bench_R_opt=50.7%
      50.3%  pg_resp_bench_R_opt=50.3%
      49.8%  pg_resp_bench_R_opt=49.8%
      51.1%  pg_resp_bench_R_opt=51.1%
      49.3%  pg_resp_bench_R_opt=49.3%
      50.9%  pg_resp_bench_R_opt=50.9%
      50.7%  pg_resp_bench_R_opt=50.7%
      22.8%  pg_resp_bench_R_opt=22.8%
      51.0%  pg_resp_bench_R_opt=51.0%
      51.8%  pg_resp_bench_R_opt=51.8%
      51.4%  pg_resp_bench_R_opt=51.4%
      50.3%  pg_resp_bench_R_opt=50.3%
      51.0%  pg_resp_bench_R_opt=51.0%
      51.0%  pg_resp_bench_R_opt=51.0%
      50.4%  pg_resp_bench_R_opt=50.4%
      50.9%  pg_resp_bench_R_opt=50.9%
      51.5%  pg_resp_bench_R_opt=51.5%
      50.7%  pg_resp_bench_R_opt=50.7%
      51.5%  pg_resp_bench_R_opt=51.5%
      51.0%  pg_resp_bench_R_opt=51.0%
      50.8%  pg_resp_bench_R_opt=50.8%
      50.3%  pg_resp_bench_R_opt=50.3%
      50.4%  pg_resp_bench_R_opt=50.4%
      51.1%  pg_resp_bench_R_opt=51.1%
      50.5%  pg_resp_bench_R_opt=50.5%
      49.8%  pg_resp_bench_R_opt=49.8%
      51.8%  pg_resp_bench_R_opt=51.8%
      50.5%  pg_resp_bench_R_opt=50.5%
      50.9%  pg_resp_bench_R_opt=50.9%
      49.8%  pg_resp_bench_R_opt=49.8%
      50.2%  pg_resp_bench_R_opt=50.2%
      51.5%  pg_resp_bench_R_opt=51.5%
      49.3%  pg_resp_bench_R_opt=49.3%
      52.0%  pg_resp_bench_R_opt=52.0%
      50.9%  pg_resp_bench_R_opt=50.9%
      50.5%  pg_resp_bench_R_opt=50.5%
      51.7%  pg_resp_bench_R_opt=51.7%
       0.5%  pg_resp_bench_R_opt=0.5%
      50.6%  pg_resp_bench_R_opt=50.6%
      50.2%  pg_resp_bench_R_opt=50.2%
