utc	arm	workload	status	ops_sec	p99_ms	hit_pct	spread_pct	publishable	cpu_peak
2026-08-05T19:40:14Z	P-def	d64-p1-c1	ok	25128.09	0.055	48.27976716566617	0.4193713091603899	True	56.07
2026-08-05T19:43:25Z	P-def	d64-p1-c8	ok	94639.6	0.103	16.720684783512006	0.668589047290986	True	106.52
2026-08-05T19:46:36Z	P-def	d64-p1-c64	ok	94633.86	0.767	4.679210227369813	1.7687115372869742	True	105.9
2026-08-05T19:49:45Z	P-def	d64-p16-c1	ok	266115.89	0.071	88.35932529420867	4.93960356895637	True	60.92
2026-08-05T19:52:54Z	P-def	d64-p16-c8	ok	904655.31	0.167	64.39860018411412	7.401191289088881	True	106.01
2026-08-05T19:56:03Z	P-def	d64-p16-c64	ok	1149882.05	1.039	15.795150520660673	0.6006007311793373	True	104.99
2026-08-05T19:59:20Z	P-def	d1024-p1-c1	ok	24529.4	0.055	46.49363392085182	1.9059985160664445	True	56.37
2026-08-05T20:02:31Z	P-def	d1024-p1-c8	ok	91844.25	0.111	16.466290674737436	0.326400400678321	True	107.43
2026-08-05T20:05:42Z	P-def	d1024-p1-c64	ok	93263.28	0.775	5.336743863587282	1.2284577595812753	True	106.4
2026-08-05T20:08:51Z	P-def	d1024-p16-c1	ok	259798.08	0.087	35.680872649415335	8.466336625736421	False	103.69
2026-08-05T20:12:00Z	P-def	d1024-p16-c8	ok	391696.52	0.367	38.86554616538934	2.3763627003885572	True	105.53
2026-08-05T20:15:09Z	P-def	d1024-p16-c64	ok	441963.54	2.671	9.34002494570598	27.233701223408602	False	105.78
